@RELATION OPENJPA2TrainingDataset

@ATTRIBUTE REAL REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}

@DATA
1,3,0,73,76,58,25.33,312,300,104.00,no
1,3,0,69,72,54,24.00,312,300,104.00,no
1,2,0,62,3,3,1.50,522,300,261.00,no
1,1,0,100,3,3,3.00,300,300,300.00,no
1,1,0,212,3,3,3.00,300,300,300.00,no
1,2,0,258,4,3,2.00,344,300,172.00,no
1,1,0,148,3,3,3.00,300,300,300.00,no
1,1,0,50,3,3,3.00,300,300,300.00,no
1,3,0,602,2,3,0.67,547,300,182.33,no
1,5,0,880,10,6,2.00,411,300,82.20,no
1,6,0,48,-1,3,-0.17,406,300,67.67,no
1,1,0,58,3,3,3.00,300,300,300.00,no
1,3,0,159,4,3,1.33,348,300,116.00,no
1,2,0,60,2,3,1.00,309,300,154.50,no
1,2,0,135,3,3,1.50,522,300,261.00,no
1,4,0,168,29,47,7.25,309,300,77.25,no
1,3,0,366,-7,3,-2.33,337,300,112.33,no
1,4,0,259,3,3,0.75,370,300,92.50,no
1,1,0,32,3,3,3.00,300,300,300.00,no
1,5,1,243,20,17,4.00,561,300,112.20,yes
1,1,0,42,3,3,3.00,300,300,300.00,no
1,1,0,126,3,3,3.00,300,300,300.00,no
1,1,0,58,3,3,3.00,300,300,300.00,no
1,2,0,169,4,3,2.00,344,300,172.00,no
1,5,1,172,38,35,7.60,561,300,112.20,yes
1,5,1,322,26,20,5.20,341,300,68.20,yes
1,1,0,46,3,3,3.00,300,300,300.00,no
1,1,0,38,3,3,3.00,300,300,300.00,no
1,3,0,94,1,3,0.33,566,300,188.67,no
1,10,1,1384,4,4,0.40,420,300,42.00,yes
1,7,0,639,21,18,3.00,449,300,64.14,no
1,1,0,43,3,3,3.00,300,300,300.00,no
1,1,0,455,3,3,3.00,300,300,300.00,no
1,4,0,364,11,4,2.75,346,300,86.50,no
1,2,0,218,4,3,2.00,310,300,155.00,no
1,5,2,438,19,24,3.80,326,300,65.20,yes
1,3,0,177,-6,3,-2.00,307,300,102.33,no
1,1,0,44,3,3,3.00,300,300,300.00,no
1,2,0,124,0,3,0.00,347,300,173.50,no
1,2,0,77,10,7,5.00,379,300,189.50,no
1,1,0,128,3,3,3.00,300,300,300.00,no
1,4,0,256,61,59,15.25,371,300,92.75,no
1,1,0,156,3,3,3.00,300,300,300.00,no
1,5,0,632,13,10,2.60,348,300,69.60,yes
1,1,0,40,3,3,3.00,300,300,300.00,no
1,1,0,200,3,3,3.00,300,300,300.00,no
1,2,0,52,9,6,4.50,302,300,151.00,no
1,2,0,78,6,3,3.00,379,300,189.50,no
1,2,0,163,-27,3,-13.50,379,300,189.50,no
1,1,0,34,3,3,3.00,300,300,300.00,no
1,2,0,81,-7,3,-3.50,379,300,189.50,no
1,1,0,34,3,3,3.00,300,300,300.00,no
1,2,0,194,17,14,8.50,379,300,189.50,no
1,1,0,41,3,3,3.00,300,300,300.00,no
1,3,0,46,49,31,16.33,444,300,148.00,no
1,2,0,70,-6,3,-3.00,379,300,189.50,no
1,2,0,72,-5,3,-2.50,379,300,189.50,no
1,3,0,128,-3,3,-1.00,423,300,141.00,no
1,2,0,91,-7,3,-3.50,379,300,189.50,no
1,2,0,146,-25,3,-12.50,379,300,189.50,no
1,3,0,190,-11,3,-3.67,423,300,141.00,no
1,3,0,104,24,22,8.00,423,300,141.00,no
1,2,0,67,-6,3,-3.00,379,300,189.50,no
1,2,0,203,21,18,10.50,379,300,189.50,no
1,2,0,60,1,3,0.50,379,300,189.50,no
1,2,0,43,0,3,0.00,379,300,189.50,no
1,2,0,52,0,3,0.00,379,300,189.50,no
1,2,0,67,0,3,0.00,379,300,189.50,no
1,2,0,40,-2,3,-1.00,379,300,189.50,no
1,2,0,48,-4,3,-2.00,379,300,189.50,no
1,2,0,195,-4,3,-2.00,379,300,189.50,no
1,3,0,75,3,3,1.00,380,300,126.67,no
1,2,0,56,-13,3,-6.50,379,300,189.50,no
1,3,0,53,56,38,18.67,444,300,148.00,no
1,3,0,41,44,26,14.67,444,300,148.00,no
1,2,0,221,-13,3,-6.50,379,300,189.50,no
1,1,0,103,3,3,3.00,300,300,300.00,no
1,2,0,98,0,3,0.00,379,300,189.50,no
1,1,0,80,3,3,3.00,300,300,300.00,no
1,2,0,207,-3,3,-1.50,379,300,189.50,no
1,3,0,173,-6,3,-2.00,419,300,139.67,no
1,3,0,44,17,15,5.67,485,300,161.67,no
1,5,1,190,49,32,9.80,386,300,77.20,no
1,2,0,44,3,3,1.50,379,300,189.50,no
1,2,0,90,14,11,7.00,379,300,189.50,no
1,2,0,44,3,3,1.50,379,300,189.50,no
1,2,0,142,-20,3,-10.00,379,300,189.50,no
1,3,0,168,15,15,5.00,387,300,129.00,no
1,2,0,62,-6,3,-3.00,379,300,189.50,no
1,2,0,62,-6,3,-3.00,379,300,189.50,no
1,1,0,42,3,3,3.00,300,300,300.00,no
1,3,0,396,-50,3,-16.67,423,300,141.00,no
1,1,0,44,3,3,3.00,300,300,300.00,no
1,1,0,29,3,3,3.00,300,300,300.00,no
1,1,0,53,3,3,3.00,300,300,300.00,no
1,1,0,58,3,3,3.00,300,300,300.00,no
1,2,0,101,17,14,8.50,379,300,189.50,no
1,4,0,152,22,37,5.50,381,300,95.25,no
1,2,0,143,-20,3,-10.00,379,300,189.50,no
1,1,0,41,3,3,3.00,300,300,300.00,no
1,1,0,41,3,3,3.00,300,300,300.00,no
1,2,0,92,10,7,5.00,379,300,189.50,no
1,3,0,76,3,3,1.00,380,300,126.67,no
1,2,0,78,9,6,4.50,379,300,189.50,no
1,2,0,48,-2,3,-1.00,379,300,189.50,no
1,2,0,100,-4,3,-2.00,379,300,189.50,no
1,8,0,738,61,48,7.63,448,300,56.00,yes
1,3,0,128,14,12,4.67,381,300,127.00,no
1,2,0,33,36,33,18.00,379,300,189.50,no
1,3,0,68,3,3,1.00,423,300,141.00,no
1,1,0,38,3,3,3.00,300,300,300.00,no
1,1,0,36,3,3,3.00,300,300,300.00,no
1,5,0,340,-1,44,-0.20,429,300,85.80,no
1,3,0,54,0,3,0.00,423,300,141.00,no
1,1,0,41,3,3,3.00,300,300,300.00,no
1,2,0,261,-2,3,-1.00,379,300,189.50,no
1,3,0,116,-21,3,-7.00,423,300,141.00,no
1,3,0,61,3,3,1.00,423,300,141.00,no
1,3,0,204,-15,3,-5.00,405,300,135.00,no
1,2,0,138,-19,3,-9.50,379,300,189.50,no
1,1,0,51,3,3,3.00,300,300,300.00,no
1,2,0,49,3,3,1.50,379,300,189.50,no
1,2,0,50,4,3,2.00,379,300,189.50,no
1,3,0,195,-1,3,-0.33,423,300,141.00,no
1,2,0,147,-16,3,-8.00,379,300,189.50,no
1,4,0,144,-9,6,-2.25,427,300,106.75,no
1,2,0,174,-15,3,-7.50,379,300,189.50,no
1,5,0,957,4,40,0.80,389,300,77.80,yes
1,7,0,341,73,40,10.43,325,300,46.43,yes
1,2,0,112,3,3,1.50,522,300,261.00,no
1,2,0,125,3,3,1.50,340,300,170.00,no
1,2,0,411,5,3,2.50,308,300,154.00,no
1,3,0,173,3,3,1.00,330,300,110.00,no
1,2,0,69,9,6,4.50,308,300,154.00,no
1,2,0,82,3,3,1.50,522,300,261.00,no
1,1,0,1010,3,3,3.00,300,300,300.00,yes
1,2,0,329,4,3,2.00,306,300,153.00,yes
1,2,0,244,3,3,1.50,522,300,261.00,no
1,1,0,84,3,3,3.00,300,300,300.00,no
1,1,0,43,3,3,3.00,300,300,300.00,no
1,2,1,69,3,3,1.50,304,300,152.00,no
1,1,0,64,3,3,3.00,300,300,300.00,no
1,1,0,161,3,3,3.00,300,300,300.00,no
1,3,0,86,5,3,1.67,379,300,126.33,no
1,1,0,304,3,3,3.00,300,300,300.00,no
1,4,0,704,4,3,1.00,356,300,89.00,no
1,8,0,1764,23,15,2.88,367,300,45.88,yes
1,7,0,1171,15,10,2.14,404,300,57.71,no
1,2,0,68,3,3,1.50,522,300,261.00,no
1,9,1,1123,5,3,0.56,352,300,39.11,yes
1,1,0,139,3,3,3.00,300,300,300.00,no
1,2,0,163,4,3,2.00,339,300,169.50,no
1,2,0,60,3,3,1.50,522,300,261.00,no
1,3,0,227,-1,3,-0.33,355,300,118.33,no
1,3,0,607,7,3,2.33,355,300,118.33,no
1,2,0,135,3,3,1.50,522,300,261.00,no
1,2,0,35,3,3,1.50,522,300,261.00,no
